Page,Provider,Provider Info,Base,Quote,Price,Checks,Address,Address Link
"1","ChainlinkETH / USD (0.5%, 3600s)","Chainlink","WETH","USD","•$0.00000","(7)","0x1067...d84E1D","https://etherscan.io/address/0x10674C8C1aE2072d4a75FE83f1E159425fd84E1D"
"1","CrosswstETH/stETH/USD","Cross","wstETH","USD","•$0.00000","(7)","0x02dd...9528D7","https://etherscan.io/address/0x02dd5B7ab536629d2235276aBCDf8eb3Af9528D7"
"1","ChainlinkUSDC / USD (0.25%, 82800s)","Chainlink","USDC","USD","•$0.00000","(7)","0x6213...a37d3F","https://etherscan.io/address/0x6213f24332D35519039f2afa7e3BffE105a37d3F"
"1","ChainlinkUSDT / USD (0.25%, 86400s)","Chainlink","USDT","USD","•$0.00000","(7)","0x587C...037FF9","https://etherscan.io/address/0x587CABe0521f5065b561A6e68c25f338eD037FF9"
"1","RedStoneapxETH/ETH (1%, 86400s)","RedStone","apxETH","WETH","•0.00000Ξ","(7)","0xc833...De6115","https://etherscan.io/address/0xc8339D67d3c110dEc5226A497e86d4E18bDe6115"
"1","RedStonepzETH_FUNDAMENTAL (0.5%, 86400s)","RedStone","pzETH","WETH","•0.00000Ξ","(7)","0x0E45...302db6","https://etherscan.io/address/0x0E45B0bc6D05872E355cca26f14ec5519E302db6"
"1","CrosswstETH/stETH/WETH","Cross","wstETH","WETH","•0.00000Ξ","(7)","0xA9E1...7F6128","https://etherscan.io/address/0xA9E18Ece44DcCd4E623135098C8B0887C87F6128"
"1","ChainlinkTBTC / USD (2%, 86400s)","Chainlink","TBTC","USD","•$0.00000","(1)(6)","0x12Dd...A9d9E2","https://etherscan.io/address/0x12Dd0ceea79F97250bba5816eE44DfCBC3A9d9E2"
"1","RedStone PullwstETH/USD","RedStone Pull","wstETH","USD","•$0.00000","(1)(5)","0x105c...9B0127","https://etherscan.io/address/0x105c9463d83D06c05b976248C3CCE01F739B0127"
"1","RedStone PullweETH/USD","RedStone Pull","weETH","USD","•$0.00000","(1)(5)","0x80fc...626d5E","https://etherscan.io/address/0x80fc1234A819c0B344E1D4A8a9Ef100426626d5E"
"1","RedStone PullETHx/USD","RedStone Pull","ETHx","USD","•$0.00000","(1)(5)","0xdD14...4eB2e1","https://etherscan.io/address/0xdD14f5ab795ce9892AF51063235e18c9884eB2e1"
"1","RedStone PullUSDT/USD","RedStone Pull","USDT","USD","•$0.00000","(1)(5)","0x54c6...81e035","https://etherscan.io/address/0x54c679D19B0be6568821b0f7309EA8105481e035"
"1","PythCrypto.CBETH/USD (120s, ±300bps)","Pyth","cbETH","USD","•$0.00000","(11)","0x218f...d3ADA1","https://etherscan.io/address/0x218f2C85a53B7a3051561F8Bf2475D40eFd3ADA1"
"1","RedStone PullUSDC/USD","RedStone Pull","USDC","USD","•$0.00000","(1)(5)","0x1E10...FFCfe5","https://etherscan.io/address/0x1E10D23Ec871dD8bfE9740e193C714f8B2FFCfe5"
"1","RedStone PullezETH/USD","RedStone Pull","ezETH","USD","•$0.00000","(1)(5)","0x222f...01931D","https://etherscan.io/address/0x222fC2383C13D91ff8a3421dc977Fa2f3501931D"
"1","RedStone PullrswETH/USD","RedStone Pull","rswETH","USD","•$0.00000","(1)(5)","0x31bd...e43faC","https://etherscan.io/address/0x31bd697842aD9e41cEae622C6044CEFFFee43faC"
"1","RedStone PullpufETH/USD","RedStone Pull","pufETH","USD","•$0.00000","(1)(5)","0x6e23...C65aec","https://etherscan.io/address/0x6e23447000a924f5CF6a5748A2F14c36b2C65aec"
"1","RedStone PullcrvUSD/USD","RedStone Pull","crvUSD","USD","•$0.00000","(1)(5)","0xAeF1...fF9aB5","https://etherscan.io/address/0xAeF108aD1B7523b8D5d9f343321275E1AdfF9aB5"
"1","RedStone PullUSDe/USD","RedStone Pull","USDe","USD","•$0.00000","(1)(5)","0x2fA5...8A6cf5","https://etherscan.io/address/0x2fA5758eE41B34b2f80983351a799084ec8A6cf5"
"1","RedStone PullWBTC/USD","RedStone Pull","WBTC","USD","•$0.00000","(1)(5)","0x7943...391d1c","https://etherscan.io/address/0x79439576CA22bAF133E0afb232630509d3391d1c"
