Vendor,Direct Count,Direct %,Underlying Count,Underlying %,Total Count,Combined %
"Chainlink",87,15.00%,124,39.74%,211,28.40%
"Pendle",94,16.21%,69,22.12%,163,21.94%
"Cross",149,25.69%,9,2.88%,158,N/A
"Pyth",89,15.34%,33,10.58%,122,16.42%
"Other",20,3.45%,74,23.72%,94,12.65%
"Fixed Rate",59,10.17%,0,0.00%,59,7.94%
"RedStone",39,6.72%,0,0.00%,39,5.25%
"Rate Provider",24,4.14%,0,0.00%,24,3.23%
"Chronicle",8,1.38%,2,0.64%,10,1.35%
"Midas",6,1.03%,0,0.00%,6,0.81%
"Idle",2,0.34%,1,0.32%,3,0.40%
"Lido Fundamental",1,0.17%,0,0.00%,1,0.13%
"Resolv",1,0.17%,0,0.00%,1,0.13%
"MEV Capital",1,0.17%,0,0.00%,1,0.13%
