Rank,Governor Address,Governor Name,TVL USD,% of Total,Vault Count
1,"0x81ad394C0Fa87e99Ca46E1aca093BEe020f203f4","SafeProxy",460572979.9999825,59.10,3
2,"0x9453ee262d7C95955e690AE7aBBD82a08B135685","GovernorAccessControlEmergency",271448242.4652187,34.83,6
3,"0x35400831044167E9E2DE613d26515eeE37e30a1b","GovernorAccessControlEmergency",32535751.69675538,4.18,96
4,"0x23E6aecB76675462Ad8f2B31eC7C492060c2fAEF","GnosisSafeProxy",5973400.174897354,0.77,2
5,"Error","Error: could not decode result data (value="0x", info={ "method": "governor", "signature": "governor()" }, code=BAD_DATA, version=6.16.0)",4001823.7692627776,0.51,13
6,"0x7d07BFdd01422D7b655B333157eB551B9712dCd8","SafeProxy",809442.6705860808,0.10,4
7,"0x0E43DF9F40Cc6eEd3eC70ea41D6F34329fE75986","GnosisSafeProxy",781646.643943944,0.10,4
8,"0x7054b25D47b9342dA3517AD41A4BD083De8D3f70","EOA",746325.5312709403,0.10,2
9,"0x2e571f334fe06A6a2741dd0E4cb5Bc7C1F8Af808","GnosisSafeProxy",704591.3824986316,0.09,18
10,"0x05591B3aFE2239Ff3669BCfD715815d2ba8A24a4","TimelockController",469951.5942560298,0.06,12
11,"0xdD84A24eeddE63F10Ec3e928f1c8302A47538b6B","SafeProxy",295608.46956931497,0.04,2
12,"0x8378f03722Ca0b9939Be4bEaEf0BF64c0062f232","GnosisSafeProxy",294834.00347056077,0.04,4
13,"0x75178137D3B4B9A0F771E0e149b00fB8167BA325","EOA",285130.8430331658,0.04,2
14,"0xD6Ff6aBb93EF058A474769f0d05C7fEF440920F8","GnosisSafeProxy",210109.10337999853,0.03,2
15,"0x184d597Be309e11650ca6c935B483DcC05551578","GnosisSafeProxy",59631.26348264004,0.01,11
16,"0x2D10ae93c6BF868556aE9577aD0e8b24004aB816","Timelock",27073.86013515581,0.00,3
17,"0xF53eAeB7e6f15CBb6dB990eaf2A26702e1D986d8","GnosisSafeProxy",17269.50184398371,0.00,1
18,"0x69cC425B1E5f302e7Db4E5d125ab984EC5186364","SafeProxy",10821.125094408657,0.00,1
19,"0x8B5EB629Dc1d56B101cD340CA87Ea2506c551379","SafeProxy",756.3917852051939,0.00,2
20,"0x3EB6F25A0a879e5A11270d3BC3C17efB6D41b518","EOA",700.0847479843419,0.00,2
21,"0x1578eD833D986c1188D1a998aA5FEcD418beF5da","EOA",498.88464457200035,0.00,1
22,"0x2976F93690F2881C34f96134566eb4e7c207ac07","SafeProxy",485.98661727246656,0.00,3
23,"0x54061E18cd88D2de9af3D3D7FDF05472253B29E0","SafeProxy",433.61806034315856,0.00,2
24,"0x99dDD6B6FE142b25824b4F31dB552aCCEb9e0384","SafeProxy",36.42787534937456,0.00,1
25,"0x67a114e733b52CAC50A168F02b5626f500801C62","EOA",22.131049449594514,0.00,6
26,"0x57E190373fcCBAed7A110579547376466865Fca6","EOA",15.835523439512825,0.00,2
27,"0x5304ebB378186b081B99dbb8B6D17d9005eA0448","EOA",14.566676715212969,0.00,2
28,"0x3790988c7e4E1a4e53d8C69b795A7D933908eae0","EOA",9.996756380473151,0.00,1
29,"0x1B448203909803c0C07C7D948bDfBd0080197947","EOA",7.90364731080386,0.00,2
30,"0xcAD001c30E96765aC90307669d578219D4fb1DCe","GnosisSafeProxy",4.891357366183975,0.00,1
31,"0xF02Faf7CFEe786111eaE6747a0c344b48C1eD5E5","GovernorAccessControl",1.2703591688914058,0.00,1
32,"0x214212F65aD152956582bE9CC2Cc88d443a0AB7e","EOA",1.0002398831750978,0.00,2
33,"0x1F09Ec21d7fd0A21879b919bf0f9C46e6b85CA8b","EOA",0.9455882888051329,0.00,1
34,"0x75cFE4ef963232ae8313aC33e21fC39241338618","EOA",0.613318759348279,0.00,1
35,"0x38afC3aA2c76b4cA1F8e1DabA68e998e1F4782DB","GnosisSafeProxy",0.15779895882016196,0.00,1
36,"0xfcad670592a3b24869C0b51a6c6FDED4F95D6975","GnosisSafeProxy",0.0222117651262619,0.00,2
